131204,4,月4; 木4,簿記論‐B,廣橋 祥,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,第01回 引当金\\n第02回  〃\\n第03回 収益と費用\\n第04回  〃\\n第05回 株式会社の純資産(資本)\\n第06回  〃\\n第07回  〃\\n第08回 税金\\n第09回 リース会計\\n第10回 外貨建取引\\n第11回  〃\\n第12回 税効果会計\\n第13回 決算\\n第14回  〃\\n第15回 まとめ,小テスト(20%)\\n<評価基準>\\n・毎回の講義で学んだ内容を理解していること。\\n期末試験(80%)\\n<評価基準>\\n・授業で学んだ基本的な取引を記帳し; 財務諸表を作成できること。,
131205,4,月4; 木4,社会保障論-B,両角 良子,2 ; 3,専門教育科目 経済DSプログラム・基礎科目,2,,第1回 社会保障全般\\n第2回 生活保護\\n第3回 公的医療保険制度\\n第4回 公的医療保険制度\\n第5回 公的医療保険制度\\n第6回 医療経済学\\n第7回 医療経済学\\n第8回 公的介護保険制度\\n第9回 公的介護保険制度\\n第10回  出生の経済学\\n第11回  社会福祉制度\\n第12回  社会福祉制度\\n第13回  貧困・最低生活保障\\n第14回  貧困・最低生活保障\\n第15回  まとめ・定期試験\\n第16回 第15回が事情により都合が悪くなった場合の予備日\\n※上記は目安です。変更が生じる可能性があります。,・期末試験 100%\\n期末試験は授業内容の理解度と身につけた知識による応用力・考察力を確認するものです。理解度・応用力・考察力を成績の評価基準とします。,・オフィスアワーについて\\n特定の時間にオフィスアワーをもうけません。質問等がある方は、まずは電子メールで相談してください。対面または非対面、いずれかの形で対応したいと思います。\\n・特殊事情が発生した場合について\\nシラバスに書かれている内容を部分的に変更して開講することがあります。\\nオンデマンド授業を行う可能性があります。
131215,4,月1; 水2,環境法‐B,神山 智美,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,環境法Bでは「環境法各論」のなかでも自然環境法について講義する。実定法の科目である環境法においては、具体の環境問題とそれに対する法制度の正確な理解が必須であり、それらを順に講義していく。\\n1 生物多様性基本法\\n2 生物多様性条約\\n3 種の保存・保全・防除に関する法(1)\\n4 種の保存・保全・防除に関する法(2)\\n5 自然公園法\\n6 自然再生推進法物\\n7 水系管理に関する法\\n8 森林管理に関する法\\n9 山に関する法\\n10 土地利用に関する法\\n11 農業に関する法\\n12 漁業に関する法\\n13 自然景観に関する法\\n14 気候変動対策、SDGsおよびESG\\n15 動物愛護管理に関する法,達成目標を念頭に置いて、授業終了時に随時実施する小テストまたはレポート50%、期末試験 50%(持ち込み可のものもある)により、総合的に評価する。\\nただし、期末試験を期末レポートに変更する場合がありうる。(期末試験に代わり第15回目に授業のまとめと試験を実施する可能性もある。)\\n中間レポートおよび期末レポートの提出には、経済学部棟2階のレポートボックスを利用予定である。,
131216,4,月2; 木2,債権法II(各論)‐B,森嶋 秀紀,3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,以下のとおり講義を進める予定である。\\n(なお、講義の進み具合に応じて予定を変更する可能性もある。)\\n1 雇用・請負\\n2 委任・寄託\\n3 その他の典型契約\\n4 事務管理\\n5 不当利得1\\n6 不当利得2\\n7 不法行為の要件1\\n8 不法行為の要件2\\n9 不法行為の効果1\\n10 不法行為の効果2\\n11 他人の行為による不法行為責任\\n12 物の作用による不法行為\\n13 共同不法行為\\n14 過失相殺等\\n15 総復習\\n16 期末試験,達成目標を念頭に置いて期末試験によって評価する(100%)。\\nなお、授業においてなされた質問等が有益であった場合、その点を評価に加えることがある。,
131217,4,月3; 水1,地方財政論‐B,深澤 映司,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,◆授業の形式\\n授業は講義形式で行います。\\n毎回の講義内容について、必ず復習をするようにして下さい(1回の講義(90分)に対して180分程度の自習を目途とします)。\\n◆授業のスケジュール\\n全15回の講義を経て、期末試験を行います。\\n授業には毎回出席してください(4回以上欠席した場合は、正当な理由(忌引き、感染症への感染など)が認められない限り、期末の評価を「不可」とします)。\\n第1回   ガイダンス・国家財政との相違など\\n第2回   地方分権の経済理論:「分権化定理」と「足による投票」\\n第3回   租税外部効果(1):租税競争\\n第4回   租税外部効果(2):租税輸出\\n第5回   租税外部効果(3):垂直的租税外部効果\\n第6回   ヤードスティック競争\\n第7回   財政競争\\n第8回   スピルオーバー効果\\n第9回   財政錯覚(地方財政との関連)\\n第10回  補助金の理論と財政錯覚による影響\\n第11回  垂直的財政調整に伴う非効率性\\n第12回  「集積の経済」と地方税の税率\\n第13回  自治体財政の効率性(技術的効率性)\\n第14回  地方公共サービスが地域経済に及ぼす効果(資源配分効率性)の捉え方(ヘドニック・アプローチ等)\\n第15回  地方税制の抜本改革のあり方(租税外部効果の観点を中心に)\\n<期末試験>\\n上記の達成目標に到達しているかどうかを判定するための出題を行います。\\n試験の詳細については、改めてお知らせします。,成績は、期末に行われる試験(地方財政の本質をしっかり理解できているかどうかを確認するための出題を行います)の答案を踏まえて評価します。\\n期中における小テストや授業を通じた課題等は、予定していません(期末試験のみの評価となります)。\\n4回以上の欠席は、やむを得ない理由(忌引き、感染症への感染など)が認められない限り、期末試験の得点に関わらず「不可」の評価となります。,
131218,4,月4; 木4,日本経済史‐B,矢島 桂,3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,第1回1920年代米国経済の繁栄\\n第2回ヴェルサイユ=ワシントン体制1\\n第3回ヴェルサイユ=ワシントン体制2\\n第4回ワシントン体制下の日本経済\\n第5回世界大恐慌\\n第6回昭和恐慌下の日本経済\\n第7回高橋財政\\n第8回近代中国の工業化と関税自主権の回復\\n第9回戦間期中国の幣制改革と国際関係\\n第10回近代日本と「満洲」\\n第11回戦時経済\\n第12回「大東亜共栄圏」の形成と崩壊\\n第13回戦後経済改革\\n第14回経済復興\\n第15回高度経済成長,定期試験100%,
131219,4,月4; 木4,刑法各論‐B,辻本 淳史,3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,個人的法益に対する罪のうち財産犯を中心に講義をし、社会的法益・国家的法益については重要な罪についてポイントを絞って解説する。なお授業の具体的な進み具合によって内容がかわることがある。\\n第1週 財産犯総説\\n第2週 財産犯の保護法益\\n第3週 刑法における「占有」\\n第4週 窃盗罪(1)\\n第5週 窃盗罪(2)\\n第6週 強盗罪\\n第7週 詐欺罪の基本問題\\n第8週 キセル乗車、三角詐欺、銀行取引と詐欺etc.\\n第9週 横領罪\\n第10週 背任罪\\n第11週 経済取引と横領罪・背任罪\\n第12週 放火罪\\n第13週 文書偽造罪\\n第14週 わいろ罪\\n第15週 予備日,達成目標を念頭において、小テスト・試験を30%・70%の割合で評価する。,
131222,4,月1; 水2,経営管理論‐B,Xie Di,4,専門教育科目 昼間主開講・基礎科目,2,,第1回    戦略論の歴史\\n第2回 多角化戦略\\n第3回  アンゾフの理論:「多角化」「シナジー効果」\\n第4回  ポーターの理論:「Five Forces」フレームワーク\\n第5回  ポーターの理論:「Five Forces」フレームワーク と 戦略グループ\\n第6回  ケイパビリティ派の端緒:日本企業の台頭\\n第7回  RBV理論とVRIO分析\\n第8回  組織行動論の招待と個人の行動の基礎\\n第9回  個人の行動の基礎2\\n第10回 個人の行動の基礎3\\n第11回  組織との出会い1:採用と面接\\n第12回  組織との出会い2:組織社会化\\n第13回 モチベーション1\\n第14回  モチベーション2\\n第15回 まとめ,ターム末試験の成績(40点)\\n対面にて、持ち込み不可\\n試験日は決まり次第、お知らせします\\n受講態度(60点~)\\nグループワーク(提出物・貢献度)   ....  30点\\nフォーラム・ディスカッション             ....    15点\\nその他:個人ワークの提出物など         ...    15点\\n+α:個人発言、グループプレゼン,講義資料はすべてMoodleにアップロードし、紙での配布はしません\\nパソコンを持ち込み、印刷して持ち込みどちらでもよい
131223,4,月4; 木4,社会政策‐B,両角 良子,4,専門教育科目 昼間主開講・基礎科目,2,,第1回 社会保障全般\\n第2回 生活保護\\n第3回 公的医療保険制度\\n第4回 公的医療保険制度\\n第5回 公的医療保険制度\\n第6回 医療経済学\\n第7回 医療経済学\\n第8回 公的介護保険制度\\n第9回 公的介護保険制度\\n第10回  出生の経済学\\n第11回  社会福祉制度\\n第12回  社会福祉制度\\n第13回  貧困・最低生活保障\\n第14回  貧困・最低生活保障\\n第15回  まとめ・定期試験\\n第16回 第15回が事情により都合が悪くなった場合の予備日\\n※上記は目安です。変更が生じる可能性があります。,・期末試験 100%\\n期末試験は授業内容の理解度と身に付けた知識による応用力・考察力を確認するものです。理解度・応用力・考察力を成績の評価基準とします。,・オフィスアワーについて\\n特定の時間にオフィスアワーをもうけません。質問等がある方は、まずは電子メールで相談してください。対面または非対面、いずれかの形で対応したいと思います。\\n・特殊事情が発生した場合について\\nシラバスに書かれている内容を部分的に変更して開講することがあります。\\nオンデマンド授業を行う可能性があります。
131701,4,月6; 月7,経済史総論‐B,井坂 友紀,2 ; 3 ; 4,専門教育科目 夜間主開講・基礎科目,2,,01 「パックス・ブリタニカの時代」(2) ヴィクトリア繁栄期のイギリス経済 (1/2)\\n02 「パックス・ブリタニカの時代」(2) ヴィクトリア繁栄期のイギリス経済 (2/2)\\n03 「パックス・ブリタニカの時代」(3) イギリスを中心とする世界経済の構造\\n04 「パックス・ブリタニカの時代」(4) 自由貿易帝国主義 (1/2)\\n05 「パックス・ブリタニカの時代」(4) 自由貿易帝国主義 (2/2)\\n06  第二次産業革命の時代(1) グローバル経済の展開\\n07  第二次産業革命の時代(2) 大不況\\n08  第二次産業革命の時代(3) 第二次産業革命 (1/3)\\n09  第二次産業革命の時代(3) 第二次産業革命 (2/3)\\n10  第二次産業革命の時代(3) 第二次産業革命 (3/3)\\n11  第二次産業革命の時代(4) 資本主義の変容\\n12  世紀転換期のイギリス経済 (1)「世界の工場」から「金利生活者」へ\\n13  世紀転換期のイギリス経済 (2) 労働運動の展開\\n14  世紀転換期のイギリス経済 (3) イギリスの社会帝国主義\\n15  世紀転換期のイギリス経済 (4) 「新」自由主義の社会改革,成績評価の対象とウェイトは以下の通りとする.\\n授業内の取組み(40%)\\n<基準>英文読解課題の点数/フィードバックの内容/授業内コメントの投稿の有無; 等\\n定期試験(60%)\\n<基準>点数,
130012,1-2,火4,特殊講義 銀行論,本間 哲志,2 ; 3 ; 4,専門教育科目 選択科目・共通(昼),2,,講義予定については初回の講義で説明しますが; 概ね次のような内容を順に行う予定です(変更もあります.詳しくは第1回のオリエンテーションに出席して確認してください).\\n第1回:オリエンテーション\\n第2回:日本の金融制度と金融機関\\n第3回:銀行の基本的機能\\n第4回:銀行の実務 ―預金と為替―\\n第5回:銀行の実務 ―融資―\\n第6回:アフターコロナと銀行の役割\\n第7回:特別講義 (予定)\\n第8回:銀行の実務 ―預かり資産―\\n第9回:特別講義 (予定)\\n第10回:銀行の実務 ―ソリューションサポート―\\n第11回:銀行の経理\\n第12回:特別講義 (予定)\\n第13回:有価証券運用\\n第14回:Fintechと金融イノベーション\\n第15回:銀行論の総括\\n期末テスト,筆記試験をもとに評価します.,
130013,1-2,火4,特殊講義 経営コンサルティング論,森口 毅彦,2 ; 3 ; 4,専門教育科目 昼間主開講・学科特殊講義,2,,1	ガイダンス  経営コンサルタントの国家資格である中小企業診断士とは/中小企業診断士制度の概要・意義\\n2	新規事業開発・創業論	新規事業を立ち上げる時、創業する時\\n3	人事 	経営資源としての人材マネジメント\\n4	組織論	良い組織とは?リーダーシップとは?\\n5	店舗運営・販売管理	店舗のオペレーション・マネジメント\\n6	マーケティング	マーケティング理論と販売促進\\n7	生産管理	 製造工程や品質管理等\\n8	経営戦略論	事業の方向性を決定する\\n9	経営法務   	ビジネス関連の法律、諸制度、手続等に関する実務的知識\\n10	経営情報	ビジネスにおけるシステム構築・AI等について\\n11	中小企業施策	「中小企業白書」から読み解く企業の現状、国・自治体による各種経営支援策\\n12	経営計画策定	計画書作成の目的と構成\\n13	財務・会計	収支計画/資金計画、損益計算書/貸借対照表の読み方、財務分析\\n14	企業支援の実務	創業支援 創業準備〜運営まで\\n15	要点整理・総論	要点整理・まとめ,各回の授業の内容と授業中に出した課題を踏まえた期末レポート(100%)で評価する。(第1回の授業で詳細を説明.時間に課題は授業中に説明),
130014,1-2,火4,外国書講読I,上東 正和,2 ; 3 ; 4,専門教育科目 選択科目・共通(昼),2,,授業は講義以外に各自の発表も含まれます。\\n本講義では; 経済; 経営; 会計; 情報システムなどをテーマとして; 企業を甦らせる妙薬について考察を行った\\nRussell L. Ackoff;  Management in small doses;  Wiley 1986.\\nをテキストとして用いる。\\n本テキストのいくつかのテーマを用いて; 授業の前半では文献購読し; 後半では残ったテーマのなかから各自; 関心のあるテーマを選択して; 翻訳したものを発表してもらう。\\n授業の大まかな流れは次の通りとなり; 英語の文献を読むための技法として; 授業の前半では「4つの記号」を用いて英文のカタチを捉えて読む方法; 英文の論旨を把握するための方法の順で講義を進める。授業の後半では英文を日本語として理解できるように翻訳したものを発表してもらう。講義内容は次の通りです。\\n1. オリエンテーション\\n2.~5.文献講読(「4つの記号」を用いて英文のカタチを捉える)\\n5. ~9. 文献講読(「4つの記号」を用いて英文の論旨を把握する)\\n7. ~14. 文献講読+翻訳の発表\\n15. まとめ\\n上記に加えて英文を英文のまま読んで理解する直読直解の実践についても指導します。,課題提出(70%); 授業内での発表(30%)。\\n授業内での発表と英文翻訳の課題の提出によって、授業にどれだけ積極的に参加したか等を評価する。,
130020,1-2,火4,憲法統治機構論,伊藤 嘉規,3,専門教育科目 公共政策プログラム・発展科目,2,,本講義は; 憲法のうち統治機構に関する講義を行います。\\n憲法-A; Bで詳細に扱えなかった憲法総論の部分と参政権に関する部分も取り扱います。\\n第1回 ガイダンス\\n第2回 国民主権1-ナシオン主権; プープル主権\\n第3回 国民主権2-国民代表概念の整理\\n第4回 参政権\\n第5回 国会1――唯一の立法機関と最高機関\\n第6回 国会2――国会の活動\\n第7回 国会3――国会・議院の権能\\n第8回 内閣1――議院内閣制\\n第9回 内閣2――内閣の組織・構成\\n第10回 内閣3――内閣による権限行使の方法\\n第11回 司法権1――裁判所の地位と構成\\n第12回 司法権2――司法権の独立・限界\\n第13回 違憲審査制―違憲審査制の方法と対象\\n第14回 財政\\n第15回 地方自治\\n第15回講義終了ののちに学期末試験を行います。,上記達成目標を測るために課す持ち込み一切不可の論述式の学期末試験(100%)で評価いたします。,
130024,1-2,火4,入門法学II,伊藤 嘉規,4,専門教育科目 必修科目,2,,本講義は; 憲法のうち統治機構に関する講義を行います。\\n憲法-A; Bで詳細に扱えなかった憲法総論の部分と参政権に関する部分も取り扱います。\\n第1回 ガイダンス\\n第2回 国民主権1-ナシオン主権; プープル主権\\n第3回 国民主権2-国民代表概念の整理\\n第4回 参政権\\n第5回 国会1――唯一の立法機関と最高機関\\n第6回 国会2――国会の活動\\n第7回 国会3――国会・議院の権能\\n第8回 内閣1――議院内閣制\\n第9回 内閣2――内閣の活動\\n第10回 内閣3――内閣による権限行使の方法\\n第11回 司法権1――裁判所の地位と構成\\n第12回 司法権2――司法権の独立・限界\\n第13回 違憲審査制―違憲審査制の方法と対象\\n第14回 財政\\n第15回 地方自治\\n第15回講義終了ののちに学期末試験を行います。,上記達成目標を測るために課す持ち込み一切不可の論述式の学期末試験(100%)で評価いたします。,
130107,1,火1; 金3,ミクロ経済学-A,大坂 洋,2 ; 3,専門教育科目 経済系基盤科目,2,,1. ガイダンス・試験の考え方(基本・応用の二段階評価、AI 利用のルールなどの説明)\\n2. 変化率と平均変化率・瞬間変化率(微分の直感の復習:一次・二次関数を題材に)\\n3. グラフの読み方と描き方の基礎(縦軸・横軸、傾き・切片、接線のイメージなど、後の費用・効用グラフの準備)\\n4. 費用曲線の復習と限界費用・平均費用、完全競争での利潤最大化(価格=限界費用)の導入と基本計算\\n5. 効用関数と無差別曲線、角ハイボールと唐揚げの例による限界効用・限界代替率の直感的説明\\n6. 限界効用・限界代替率の厳密な定義(偏微分)、最適消費条件 \\(MU_1/p_1 = MU_2/p_2\\) の導出と基本計算\\n7. 損益分岐点・操業停止点(ミクロ経済学編):完全競争モデルにおける損益分岐・操業停止の条件とグラフ表現\\n8. 損益分岐点・操業停止点(会計学編):会計学の損益分岐分析との比較と、仮定の違いが判断に与える影響\\n9. 線形費用関数と価格比:費用関数が線形の場合に、投入要素価格の比が生産面の選択(投入比率)をどのように決めるかを説明\\n10. 平均費用曲線の底と限界費用の一致(直感と計算による説明、練習問題を含む)\\n11. 応用問題演習 I:最適消費と限界効用・限界代替率の計算問題と、その経済的解釈\\n12. 応用問題演習 II:利潤最大化・損益分岐点・操業停止点の計算問題と、グラフを使った確認\\n13. 応用問題演習 III:線形費用関数と価格比、生産面での意思決定に関する応用問題\\n14. 論述の書き方講習:会計学とミクロ経済学のモデルを比較する論述問題の構成・論理展開のしかたを学ぶ\\n15. 期末試験準備と全体のまとめ(試験後に時間があれば、設問の意図と解説),試験は基本問題と応用問題にわかれる。基本問題の8割取得が単位取得の条件である。それを合格したもののを秀優良可に振り分ける。秀は上位40%である。\\n基本問題は学習範囲からまんべんなく出題される。過去に出題範囲を誤解した学生が大量に不可になったことがあるので、出題範囲は、他の受講生からの情報収集もふくめ、正確に把握すること。\\n秀以上の成績は、選択の論述問題を最低一題、十分な点数をとることを条件にする。,
130108,1,火1; 金3,消費者行動論‐A,坂田 博美,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,第1回(4/10)オリエンテーション:消費者行動論とは何か\\n第2回(4/14)イントロダクション(1)消費者行動とは何か\\n第3回(4/17)イントロダクション(2)消費者行動分析とは何か\\n第4回(4/21)第1章 消費者行動とは\\n第5回(4/24)第2章 マーケティングと消費者行動\\n第6回(4/28)第7章 消費者行動の個人差を考える(1)\\n第7回(5/01)第7章 消費者行動の個人差を考える(2)\\n第8回(5/08)第7章 消費者行動の個人差を考える(3)\\n第9回(5/12)模擬小テスト\\n第10回(5/15)第8章 消費者行動のマクロ的変化\\n第11回(5/19)第11章 広告と消費者行動\\n第12回(5/22)第13章 オンライン環境における消費者行動\\n第13回(5/26)第15章 グローバル市場における消費者行動\\n第14回(6/02)総括(1)\\n第15回(6/09)総括(2)期末試験,ミニレポート10%、期末試験90%によって評価する予定である(適宜変更あり)。授業中に指示した評価基準によって評価する。,
130109,1,火1; 金3,金融論I‐A,本間 哲志,2 ; 3 ; 4,専門教育科目 昼間主開講・発展科目,2,,講義予定については初回の講義で説明しますが; 概ね次のような内容を順に行う予定です.\\n第1回■講義を始めるにあたって\\n第2回■貸借と利子率I:貸借のない世界(1)-1個人の消費・貯蔵問題(1)-問題設定; 問題の定式化; 問題の図示(1)\\n第3回■貸借と利子率II:貸借のない世界(2)-1個人の消費・貯蔵問題(2)-問題の図示(2)\\n第4回■貸借と利子率III:貸借のない世界(3)-1個人の消費・貯蔵問題(3)-問題の数式での展開(1)\\n第5回■貸借と利子率IV:貸借のない世界(4)-1個人の消費・貯蔵問題(4)-問題の数式での展開(2)\\n第6回■貸借と利子率V:貸借のない世界(5)-1個人の消費・投資問題(1) -問題設定; 問題の定式化; 問題の図示\\n第7回■貸借と利子率VI:貸借のない世界(6)-1個人の消費・投資問題(2) -問題の数式での展開\\n第8回■貸借と利子率VII:貸し借りができる世界の消費・投資の決定(1)-2個人間の貸借(1)-問題設定; 問題の定式化; 問題の図示(1)\\n第9回■貸借と利子率VIII:貸し借りができる世界の消費・投資の決定(2)-2個人間の貸借(2)-問題の図示(2); 問題の数式での展開(1)\\n第10回■貸借と利子率IX:貸し借りができる世界の消費・投資の決定(3)-2個人間の貸借(3) -問題の数式での展開(2)\\n第11回■貸借と利子率X:貸し借りができる世界の消費・投資の決定(4)-2個人間の貸借(4) -問題の数式での展開(3)\\n第12回■貸借と利子率XI:貸し借りができる世界の消費・投資の決定(5)-N個人間の貸借(1)-問題設定; 問題の定式化; 問題の図示(1)\\n第13回■貸借と利子率XII:貸し借りができる世界の消費・投資の決定(6)-N個人間の貸借(2)-問題の図示(2); 問題の数式での展開(1)\\n第14回■貸借と利子率XIII:貸し借りができる世界の消費・投資の決定(7)-N個人間の貸借(3)-問題の数式での展開(2)\\n第15回■まとめ\\n期末試験,課題レポート(50点)と期末テスト(50点)で評価します.\\n課題レポートを正しく的確に作成しているか; また; 期末テストを60%以上正答しているかを評価基準とします.,
130110,1,火2; 金2,経営組織論‐A,櫻田 貴道,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,講義は組織論AおよびBを通じて以下の内容から構成される。\\n第1回 イントロダクション\\n第2回 組織とマネジメント\\n第3回 モチベーション\\n第4回 モチベーションの応用\\n第5回 報酬と公正\\n第6回 意思決定\\n第7回 組織構造の基本\\n第8回 組織構造と学習および非公式組織\\n第9回 組織構造の形態\\n第10回 ネットワーク組織\\n第11回 チーム\\n第12回 技術と構造\\n第13回 組織設計\\n第14回 コミュニケーション\\n第15回 これまでの振り返り,講義中の積極的な発言および課題(20%)\\n(評価基準)\\n発言回数および理解できているかどうか\\n期末試験(80%)\\n(評価基準)\\n達成目標に示す内容について; 授業内で説明した学説を踏まえて正しく理解し説明できている,受講生の知識量や理解度、学術研究動向などを考慮し、講義内容や方法を変更する可能性がある。
130111,1,火3; 金1,社会学総論‐A,高山 龍太郎,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,1.社会調査の目的と意義──社会調査の主な技法、量的調査と質的調査\\n2.社会調査の歴史(欧米、日本)\\n3.公式統計──日本の統計制度、国勢調査\\n4.公式統計──デュルケム『自殺論』1897年\\n5.社会踏査──ブース『ロンドンにおける人びとの生活と労働』1904年\\n6.ドキュメント分析──トマスとズナニエツキ『ヨーロッパとアメリカにおけるポーランド農民』1918-20年\\n7.地域社会研究──リンド夫妻『ミドルタウン』1929年\\n8.実験法──メイヨー『産業文明における人間問題』1933年\\n9.インタビュー法──ベッカー『アウトサイダーズ』1963年\\n10.インタビュー法──モラン『オルレアンのうわさ』1969年\\n11.参与観察法──ゴッフマン『アサイラム』1961年\\n12.参与観察法──ホックシールド『管理される心』1983年\\n13.調査票調査──「社会階層と社会移動」全国調査(SSM調査)\\n14.調査票調査──日本版総合的社会調査(JGSS)\\n15.調査倫理、まとめ\\n16.試験,課題の提出状況(30%)、期末試験あるいはレポートの成績(70%)による。,社会調査協会が認定する「社会調査士」という資格の「A科目」に指定されています。\\n社会調査士の取得希望者の履修を優先します。\\n社会調査協会\\nhttps://jasr.or.jp/\\n社会調査士のリーフレット(PDF 2MB、社会調査協会)\\nhttp://www.jasr.or.jp/students/documents/leaflet_student2020.pdf
130119,1,火1; 金3,債権法I(総論)‐A,橋口 賢一,3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,【1】  オリエンテーション・債権とは?\\n【2】  特定物債権\\n【3】  種類債権・金銭債権\\n【4】  利息債権❶\\n【5】  利息債権❷・選択債権\\n【6】  債権の効力・履行の強制\\n【7】  債務不履行❶\\n【8】  債務不履行❷\\n【9】  債務不履行❸\\n【10】 受領遅滞\\n【11】 第三者による債権侵害\\n【12】 債権者代位権\\n【13】 詐害行為取消権❶\\n【14】 詐害行為取消権❷\\n【15】 予備日\\n※ やむを得ず; 予定を変更することがある。,期末試験(100点)による。達成目標を念頭に置いて; 評価する。,
130120,1,火2; 金2,環境経済学‐A,八木 迪幸,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,1. オリエンテーション (unit 1)\\n2. ごみ問題と循環型社会・廃棄物政策 (unit 2)\\n3. 地球温暖化問題 (unit 3)\\n4. 外部性と市場の失敗 (unit 4)\\n5. 共有資源の利用と管理 (unit 5)\\n6. 公共財とフリーライド問題 (unit 6)\\n7. 直接規制と市場メカニズム (unit 7)\\n8. 環境税と補助金 (unit 8)\\n9. 直接交渉による解決 (unit 9)\\n10. 排出量取引 (unit 10)\\n11. 政策手段の選択 (unit 11)\\n12. 廃棄物政策 (unit 12)\\n13. 地球温暖化政策 (unit 13)\\n14. ナッジと環境政策 (unit 14)\\n15. 授業の振り返り及び期末試験,期末試験(100%)の結果を基本としながら、講義への主体的な参加や知識の習得度、理解度、汎用的技能の習熟度などを総合的に判断して評価する。,
130121,1,火3; 金1,経営システム‐A,山﨑 竜弥,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,第1回:ガイダンス; システムとは何か\\n第2回:経営システムにおける管理と支援\\n第3回:生産管理と生産システム1(生産管理の基本機能・発展過程・歴史)\\n第4回:生産管理と生産システム2(生産形態・在庫管理・発注方式)\\n第5回:ものづくり企業の競争力1(競争力を左右する要素)\\n第6回:ものづくり企業の競争力2(日本のものづくりの強みと弱み)\\n第7回:産業革命の歴史\\n第8回:大量生産システムの誕生と進化1(テイラーの科学的管理法)\\n第9回:大量生産システムの誕生と進化2(フォード・システム)\\n第10回:大量生産システムが持つ課題とその克服\\n第11回:品質管理1(品質管理の基礎)\\n第12回:品質管理2(品質管理の考え方)\\n第13回:納期管理\\n第14回:製品開発\\n第15回:経営システム-Aのまとめ; 学習の振り返り,期末試験:70%\\nリアクションペーパー:30%\\n別途; レポートを課す場合があります。その他; 必要に応じて加点評価します。,状況によって授業計画・スケジュールを変更することがありますので; 毎回授業に出てその都度情報を得るようにしてください。
130122,1,火3; 金1,政治学‐A,青木 一益,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,以下にあげる各項目について、基本的には講義形式の授業を行います。各項目は下記に掲載の参考書(主には『政治学への扉』)の構成・章立てに部分的に対応しています。ただし、時事問題を取り上げる必要性や履修者の学習進捗度などに応じて、項目の組み替えや授業時間の配分に変更が生じることがある点に、あらかじめ留意してください。\\n第1回 イントロダクション:「政治」現象とはなにか\\n第2回 国家、権力、権威\\n第3回 国家、権力、権威\\n第4回 イデオロギー:望ましい政治の捉え方\\n第5回 イデオロギー:リベラリズムとデモクラシー\\n第6回 政治体制としてのデモクラシー\\n第7回 デモクラシーの多様性\\n第8回 新しいデモクラシー論\\n第9回 討論型民主主義\\n第10回 小括と質疑応答\\n第11回 国際政治をめぐる仕組み\\n第12回 国内政治と国際政治\\n第13回 グローバリゼーションの進展と国際・国内政治の課題\\n第14回 ガバメントからガバナンスへ\\n第15回 総括と質疑応答,・期末試験(論述式問題を含む):100%\\n・評価基準:授業中に提示される「政治学」領域で用いられる分析上の概念および理論モデルの適切な理解と応用がなされているか否か,
